run_id,rebalance_day,bull_threshold,dropped_assets,sharpe,max_dd,ann_return,final_equity
167,Thu,59,XMR,1.1982524860271742,-0.30037800193959807,0.49234792092297575,5.697261295778739
168,Wed,58,"BNB, HYPE",0.4371924226271749,-0.38198687791791774,0.18378380684436046,2.0818675739320986
169,Wed,59,"COIN, CRCL",1.05278415997394,-0.31596728566574617,0.45073888804980244,5.038389664531869
170,Wed,61,COIN,1.066945065033179,-0.3159672856657462,0.44122199610967083,4.896309163077191
171,Tue,57,CRCL,1.230012468757629,-0.2979646391798533,0.4953614630912633,5.747431459777377
172,Thu,60,CRCL,1.031607491759645,-0.30869901576446024,0.3921579933243011,4.212039515989498
173,Thu,62,"XMR, SOL",0.6350203013833328,-0.2957609734995282,0.22925285492962,2.4524183523519216
174,Mon,59,XMR,1.1982524860271742,-0.30037800193959807,0.49234792092297575,5.697261295778739
175,Tue,59,"XMR, COIN",1.1858631431158144,-0.27537473754171116,0.5462003770211923,6.646272984572016
176,Wed,60,"HYPE, CRCL",0.8543126669817367,-0.3599855343573288,0.31064471740062505,3.240468497661082
177,Thu,59,"HYPE, BNB",0.3915699210796215,-0.381986877917918,0.1614150972134758,1.9162207125663968
178,Mon,62,HYPE,0.5749354509269762,-0.37429262321647416,0.2046205321330501,2.2458858233950103
179,Mon,62,BNB,0.22104715174461567,-0.4694018224610091,0.0860088861393804,1.4313221008930896
180,Tue,62,"HYPE, CRCL",0.659681570725678,-0.37429262321647416,0.23420863250615342,2.495679589186138
181,Wed,57,HYPE,1.1821862970983839,-0.33505263827697734,0.4552985256872104,5.107576145750672
182,Tue,59,HYPE,0.9168321894910021,-0.3599855343573288,0.34358763377985535,3.60963891874864
183,Mon,62,HYPE,0.5749354509269762,-0.37429262321647416,0.2046205321330501,2.2458858233950103
184,Mon,57,"CRCL, BNB",0.7994272241708662,-0.43782871220259334,0.3529939575397265,3.7207628823744705
185,Thu,57,COIN,1.1533732508766914,-0.3159672856657461,0.5228777677527818,6.221432513626887
186,Wed,60,"XMR, HYPE",0.9169169034051264,-0.38781468460128093,0.354976563421433,3.744517184213537
187,Tue,57,"HOOD, XMR",0.7463929499469156,-0.31534628967375516,0.400836577332234,4.327354549125855
188,Mon,63,XMR,0.8187552232869976,-0.300378001939598,0.3148596430937287,3.2860044202652596
189,Thu,57,BNB,0.5895181498582417,-0.43782871220259334,0.2681480868648667,2.807970660272931
190,Tue,63,"SOL, BNB",-0.10085024855610597,-0.43453098950685815,-0.04350910320333756,0.8242063632165024
191,Mon,61,"COIN, HOOD",0.6878942878604704,-0.5240553833985254,0.3723122132848784,3.957232560173557
192,Tue,63,"XMR, HOOD",0.6525104224653117,-0.43486359855978496,0.3165921857995917,3.3048641362195537
193,Wed,63,"HYPE, COIN",0.6468115064971108,-0.3442885548009218,0.24655195493253745,2.605985855386432
194,Mon,61,HOOD,0.7490445342664086,-0.41559085046176053,0.3381924833365664,3.547065756473389
195,Tue,62,HYPE,0.5749354509269762,-0.37429262321647416,0.2046205321330501,2.2458858233950103
196,Mon,58,BNB,0.4424646270707063,-0.4532910692002791,0.19632279394374286,2.1794204697958537
197,Mon,58,XMR,1.2899699862400735,-0.30037800193959807,0.5396450141557148,6.524673157753003
198,Thu,62,"HYPE, SOL",0.39843742698328505,-0.25396742130153876,0.12637500896945086,1.6773446043162206
199,Tue,59,"CRCL, XMR",1.227243418431561,-0.30037800193959807,0.5047685482387099,5.906233902278191
200,Mon,62,HYPE,0.5749354509269762,-0.37429262321647416,0.2046205321330501,2.2458858233950103
201,Tue,60,COIN,1.1715533594000436,-0.3159672856657462,0.4905838728082741,5.6680498788055464
202,Tue,62,HYPE,0.5749354509269762,-0.37429262321647416,0.2046205321330501,2.2458858233950103
203,Tue,57,BNB,0.5895181498582417,-0.43782871220259334,0.2681480868648667,2.807970660272931
204,Wed,61,"XMR, SOL",0.7719845039796438,-0.2957609734995282,0.2874560379525475,2.998568183787382
205,Thu,62,"CRCL, XMR",0.8967356000511396,-0.30037800193959796,0.34632186664300635,3.641673338137702
206,Wed,61,"XMR, SOL",0.7719845039796438,-0.2957609734995282,0.2874560379525475,2.998568183787382
207,Mon,60,"COIN, HYPE",0.8830759368693053,-0.3294028866443701,0.346030230828573,3.6382461287260988
208,Mon,57,CRCL,1.230012468757629,-0.2979646391798533,0.4953614630912633,5.747431459777377
209,Mon,63,"COIN, SOL",1.0291351889550653,-0.2699716310775329,0.43974055516556465,4.874472792151345
210,Tue,60,"HYPE, BNB",0.33120347010696505,-0.3819868779179177,0.13014336912109425,1.70187063436457
211,Thu,62,"SOL, XMR",0.6350203013833328,-0.2957609734995282,0.22925285492962,2.4524183523519216
212,Wed,60,"HYPE, CRCL",0.8543126669817367,-0.3599855343573288,0.31064471740062505,3.240468497661082
213,Mon,63,HYPE,0.5258677828120756,-0.37429262321647405,0.1864679291677782,2.1024613231088765
214,Thu,62,"HYPE, CRCL",0.659681570725678,-0.37429262321647416,0.23420863250615342,2.495679589186138
215,Thu,63,XMR,0.8187552232869976,-0.300378001939598,0.3148596430937287,3.2860044202652596
216,Mon,59,"HYPE, SOL",0.7195061238534917,-0.25396742130153876,0.25720190346825555,2.7041423700341736
217,Thu,63,CRCL,0.7846891982171424,-0.3240442608343872,0.2916048605019217,3.0407915208087646
218,Thu,60,BNB,0.4425414015377015,-0.453291069200279,0.17990783201991056,2.052403876300284
219,Wed,61,"CRCL, XMR",1.0210283257277364,-0.30037800193959807,0.4050536240488358,4.384257595482281
220,Mon,58,"COIN, BNB",0.6216819247082944,-0.38555304860781087,0.27111479298896946,2.8366323524829484
221,Wed,60,"SOL, HOOD",0.6259758058711666,-0.3852815297398343,0.27946385839241694,2.918503728093809
222,Tue,62,HYPE,0.5749354509269762,-0.37429262321647416,0.2046205321330501,2.2458858233950103
223,Mon,61,"SOL, BNB",0.0739686129494215,-0.4345309895068582,0.03303588344346986,1.1517221840707361
224,Mon,60,CRCL,1.031607491759645,-0.30869901576446024,0.3921579933243011,4.212039515989498
225,Tue,60,"COIN, CRCL",1.1202294266185393,-0.3159672856657462,0.4675441790560817,5.2970114990102415
226,Wed,60,"XMR, BNB",0.5796446640685101,-0.42579803219963347,0.25767044022273766,2.7085250935282423
227,Thu,61,XMR,0.9929471535373716,-0.30037800193959807,0.3934560614579914,4.229135100767068
228,Tue,61,HOOD,0.7490445342664086,-0.41559085046176053,0.3381924833365664,3.547065756473389
229,Mon,59,"HYPE, COIN",0.851960592911277,-0.32940288664437034,0.3422439474495502,3.593975950914543
230,Wed,63,HYPE,0.5258677828120756,-0.37429262321647405,0.1864679291677782,2.1024613231088765
231,Wed,63,"HOOD, BNB",0.07672874585807027,-0.5565826701533013,0.03552636347321814,1.1638385389636525
232,Thu,61,"HYPE, HOOD",0.4950273075386193,-0.542057205559326,0.21956227145091023,2.369494808076476
233,Thu,60,"HOOD, BNB",0.07061047150653116,-0.5510065489386119,0.03362996765220583,1.154603582252009
234,Tue,61,"BNB, XMR",0.4895599082930275,-0.4232034251369884,0.21521829634960876,2.333031540018149
235,Mon,59,"CRCL, XMR",1.227243418431561,-0.30037800193959807,0.5047685482387099,5.906233902278191
236,Thu,62,XMR,0.8690709552115495,-0.30037800193959796,0.3352090864269597,3.5128247381530904
237,Mon,58,"HOOD, SOL",0.39583132015076555,-0.39514453090592927,0.18640383292262985,2.1019677284604104
238,Thu,57,"SOL, CRCL",1.1599568661149642,-0.2539674213015388,0.44687299723190055,4.980297085991498
239,Tue,60,SOL,0.8836114023789841,-0.25396742130153876,0.3139866650776175,3.2765330085812474
240,Thu,63,"HYPE, COIN",0.6468115064971108,-0.3442885548009218,0.24655195493253745,2.605985855386432
241,Thu,62,HOOD,0.7263106853250676,-0.4155908504617604,0.32337854482849426,3.379541416802426
242,Wed,63,"HYPE, CRCL",0.6095169421827836,-0.37429262321647405,0.2156101621293256,2.3363030108112683
243,Thu,63,COIN,0.8889937590111731,-0.31596728566574617,0.3621165260904826,3.8310324576869923
244,Mon,58,"BNB, CRCL",0.6433583269516723,-0.4532910692002791,0.2767781377714913,2.8919715585795194
245,Mon,60,HOOD,0.7606774392757399,-0.36734411046179455,0.34689211200991954,3.64838185786902
246,Mon,60,CRCL,1.031607491759645,-0.30869901576446024,0.3921579933243011,4.212039515989498
247,Wed,57,HYPE,1.1821862970983839,-0.33505263827697734,0.4552985256872104,5.107576145750672
248,Mon,59,"HYPE, XMR",1.0228083380072364,-0.38781468460128105,0.40438137326774903,4.375148150474518
249,Tue,58,"COIN, CRCL",1.1563572695791289,-0.3159672856657461,0.5035947969728394,5.8862373412761535
250,Tue,58,SOL,0.7486847229471882,-0.2539674213015388,0.29446077289270445,3.0701216100944064
