date,cumulative_etf_flow
2022-03-08,24759008492.153732
2022-03-09,26570543169.49476
2022-03-10,25443138914.303192
2022-03-11,24996380038.981445
2022-03-12,25075170649.190575
2022-03-13,24951663475.154636
2022-03-14,24792061697.013386
2022-03-15,25008797465.385902
2022-03-16,25750721865.77257
2022-03-17,26232889633.97706
2022-03-18,26238625358.810215
2022-03-19,26804796597.641342
2022-03-20,26698306567.95742
2022-03-21,26341966418.19357
2022-03-22,27171570144.33967
2022-03-23,27084991424.480667
2022-03-24,27714100028.484505
2022-03-25,28353904697.646473
2022-03-26,28430052279.820774
2022-03-27,28743978094.418945
2022-03-28,30251311768.795536
2022-03-29,30436706178.293404
2022-03-30,30261397411.932552
2022-03-31,29884125398.820854
2022-04-01,29115283127.285366
2022-04-02,29729845138.087814
2022-04-03,29627439277.481655
2022-04-04,29475966387.922028
2022-04-05,29677305983.637424
2022-04-06,28616202963.37024
2022-04-07,27819562321.187992
2022-04-08,27758365360.639774
2022-04-09,27181777974.644653
2022-04-10,27371140818.96911
2022-04-11,26457315452.042377
2022-04-12,25582484466.36356
2022-04-13,25887264161.196968
2022-04-14,26078208276.875946
2022-04-15,25754578391.52823
2022-04-16,25876554041.850407
2022-04-17,25837301176.350506
2022-04-18,25371586544.383423
2022-04-19,26242294427.855816
2022-04-20,26522995134.56051
2022-04-21,26680606711.559143
2022-04-22,25689428003.819046
2022-04-23,25380148422.889645
2022-04-24,25379558324.134117
2022-04-25,25102076995.786423
2022-04-26,25405000415.473953
2022-04-27,24822319294.909813
2022-04-28,25317349878.985043
2022-04-29,25036322948.98135
2022-04-30,24674714558.977142
2022-05-01,24373389474.236816
2022-05-02,24719066609.032703
2022-05-03,24466418863.53566
2022-05-04,24783421931.9913
2022-05-05,24622218784.4393
2022-05-06,23112387469.780308
2022-05-07,22935515909.812374
2022-05-08,22107839659.43512
2022-05-09,20925291402.04429
2022-05-10,20020014254.820805
2022-05-11,19575416672.54219
2022-05-12,18209760444.02413
2022-05-13,19274160596.577682
2022-05-14,18783487911.635517
2022-05-15,19242674033.04377
2022-05-16,19180068820.567627
2022-05-17,19354551382.68872
2022-05-18,18935108254.852814
2022-05-19,18861189815.030827
2022-05-20,19068025780.11464
2022-05-21,18744297030.124695
2022-05-22,19019792991.15238
2022-05-23,19245680634.412598
2022-05-24,18710548589.19807
2022-05-25,18999828281.886833
2022-05-26,18819903499.357304
2022-05-27,18479443015.58389
2022-05-28,18456677881.265633
2022-05-29,18623398040.262856
2022-05-30,19512671711.733944
2022-05-31,20252371934.48852
2022-06-01,19862091615.39075
2022-06-02,19149509354.811127
2022-06-03,19142916857.729378
2022-06-04,18944165352.379204
2022-06-05,19016463345.80072
2022-06-06,19900127846.01806
2022-06-07,19143883275.693584
2022-06-08,19458887554.219784
2022-06-09,19295971228.30361
2022-06-10,18918620405.922367
2022-06-11,18424715729.268078
2022-06-12,17654028650.34195
2022-06-13,15512226636.960234
2022-06-14,14157433334.754477
2022-06-15,13631563788.405737
2022-06-16,13695958381.481531
2022-06-17,13197570212.126766
2022-06-18,12351546071.199942
2022-06-19,12279421702.243683
2022-06-20,12964053274.56866
2022-06-21,13394483461.462694
2022-06-22,12956781464.731346
2022-06-23,13073340969.526241
2022-06-24,13439129089.338158
2022-06-25,13563741147.98962
2022-06-26,13639754315.763956
2022-06-27,13430499011.900333
2022-06-28,13215932681.494864
2022-06-29,12849524436.304935
2022-06-30,12344963947.176697
2022-07-01,12437435518.276447
2022-07-02,12250394025.877897
2022-07-03,12207736731.689482
2022-07-04,12419016481.541847
2022-07-05,12733462676.209576
2022-07-06,12845382067.391539
2022-07-07,13224576201.486444
2022-07-08,13847436150.301481
2022-07-09,13769449121.314054
2022-07-10,13477226249.95335
2022-07-11,13055563828.368
